videoid,contentUrl,duration,page_dir,name,dynamic_confidence,dynamic_wording,dynamic_source_category
10,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H008MSS,0-1000,Driving along a wall passing bycles,90.0,Driving along a wall passing bycles,nature
11,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H00M23S,0-1000,Driving along a road with trees and some industrial buildings while a bus crosses,90.0,Driving along a road with trees and some industrial buildings while a bus crosses, nature
12,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H00M14S,0-1000,Driving along a road with trees and some industrial buildings driving under a bridge,90.0,Driving along a road with trees and some industrial buildings driving under a bridge,nature
13,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H00M30S,0-1000,Driving along a train line passing grass,90.0,Driving along a train line passing grass,nature
14,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H00M11S,0-1000,Driving with crossing cars,90.0, Driving with crossing cars, nature
15,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H00M11S,0-1000,Driving on a 2 lanes country road,90.0,Driving on a 2 lanes country road, nature
16,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H00M27S,0-1000,Driving on an overland drive,90.0,Driving on an overland drive,nature
17,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H000M8S,0-1000,Driving suburban in suburbia passing bikers,90.0,Driving suburban in suburbia passing bikers,nature
18,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H000M8S,0-1000,Driving in suburbia  with grass on the sides,90.0,Driving in suburbia  with grass on the sides,nature
19,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H00M47S,0-1000,Driving in suburbia with some traffic,90.0,Driving in suburbia with some traffic, nature
20,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H00M19S,0-1000,Driving in suburban environment with some grass,90.0,Driving along a road with trees and some industrial buildings driving under a bridge,nature
21,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H00M43S,0-1000,Driving forest on a single lane road,90.0,Driving forest on a single lane road,nature
22,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H00M43S,0-1000,Driving on an empty country road,90.0, Driving on an empty country road, nature
23,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H00M39S,0-1000,Driving on a country road with some traffic,90.0,Driving on a country road with some traffi, nature
24,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H00M13S,0-1000,Driving throuhgh a small village,90.0,Driving throuhgh a small villag,nature
25,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H000M39S,0-1000,Driving through a residental area,90.0,Driving through a residental are,nature
26,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H00M12S,0-1000,Driving along a road with traditional houses,90.0, Driving along a road with traditional houses, nature
27,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H00M44S,0-1000,Driving in country side some incoming traffic,90.0,Driving in country side some incoming traffic, nature
28,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H00M29S,0-1000,Driving on tree lined road,90.0,Driving on tree lined road,nature
29,https://ak.picdn.net/shutterstock/videos/8195557/preview/stock-footage-millennium-bridge.mp4,PT00H000M27S,0-1000,Following car through village,90.0,Following car through village,nature


